iter	Passed	Remaining
0	1	148
1	2	136
2	4	130
3	4	119
4	6	114
5	7	111
6	8	110
7	9	109
8	10	107
9	11	105
10	12	104
11	13	102
12	15	101
13	16	101
14	17	100
15	18	98
16	20	98
17	21	96
18	22	95
19	23	94
20	24	93
21	26	92
22	27	90
23	28	89
24	29	87
25	30	88
26	32	87
27	33	86
28	34	85
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	42	78
35	43	77
36	44	76
37	45	74
38	47	73
39	48	72
40	49	71
41	49	69
42	51	67
43	52	66
44	53	65
45	54	64
46	55	62
47	56	61
48	58	60
49	59	59
50	60	58
51	61	57
52	62	55
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	45
62	75	44
63	77	43
64	78	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	87	35
71	88	34
72	89	33
73	92	32
74	93	31
75	95	30
76	97	29
77	98	27
78	100	26
79	101	25
80	102	24
81	105	23
82	106	21
83	108	20
84	110	19
85	113	18
86	115	17
87	118	16
88	120	14
89	121	13
90	123	12
91	125	10
92	126	9
93	128	8
94	130	6
95	131	5
96	132	4
97	134	2
98	135	1
99	136	0
